concurrency,timestamp,latency_s,success
0,1789567656.9576476,0.015732288360595703,True
0,1789567656.9733799,0.0028235912322998047,True
0,1789567657.007648,0.006674289703369141,True
0,1789567657.0382946,0.006949424743652344,True
0,1789567657.0723639,0.003316164016723633,True
0,1789567657.103933,0.0005071163177490234,True
0,1789567657.1394765,0.0011780261993408203,True
0,1789567657.1611524,0.0,True
0,1789567657.1924753,0.0010356903076171875,True
0,1789567657.2234516,0.0007250308990478516,True
0,1789567657.2570982,0.0006525516510009766,True
0,1789567657.279141,0.0011010169982910156,True
0,1789567657.3065856,0.001140594482421875,True
0,1789567657.3392446,0.001546621322631836,True
0,1789567657.3731658,0.0011696815490722656,True
0,1789567657.4073436,0.0010123252868652344,True
0,1789567657.441817,0.001522064208984375,True
0,1789567657.473425,0.0010972023010253906,True
0,1789567657.5064502,0.0012345314025878906,True
0,1789567657.5282612,0.0017044544219970703,True
0,1789567657.5563283,0.0017235279083251953,True
0,1789567657.589244,0.0013911724090576172,True
0,1789567657.6237004,0.0005152225494384766,True
0,1789567657.6590593,0.0009965896606445312,True
0,1789567657.6928291,0.001008749008178711,True
0,1789567657.7235427,0.0015101432800292969,True
0,1789567657.7580416,0.0006284713745117188,True
0,1789567657.781202,0.0006794929504394531,True
0,1789567657.8061585,0.0006923675537109375,True
0,1789567657.841394,0.00033092498779296875,True
0,1789567657.8761868,0.0006008148193359375,True
0,1789567657.906146,0.0017261505126953125,True
0,1789567657.9396374,0.0012056827545166016,True
0,1789567657.940843,0.0,True
0,1789567657.973704,0.0017240047454833984,True
0,1789567658.0063531,0.0007638931274414062,True
0,1789567658.03786,0.0012025833129882812,True
0,1789567658.069309,0.001260519027709961,True
0,1789567658.0922909,0.0005056858062744141,True
0,1789567658.1233158,0.001178741455078125,True
0,1789567658.1559834,0.0017056465148925781,True
0,1789567658.1786582,0.0013899803161621094,True
0,1789567658.2077858,0.0006413459777832031,True
0,1789567658.2435365,0.0007681846618652344,True
0,1789567658.272389,0.0017457008361816406,True
0,1789567658.3060892,0.0018014907836914062,True
0,1789567658.3393435,0.0016968250274658203,True
0,1789567658.3725772,0.0011324882507324219,True
0,1789567658.4053576,0.0014009475708007812,True
0,1789567658.426928,0.0006954669952392578,True
0,1789567658.4580107,0.0006763935089111328,True
0,1789567658.4896593,0.0006127357482910156,True
0,1789567658.5224066,0.0006163120269775391,True
0,1789567658.5436373,0.0006935596466064453,True
0,1789567658.5765567,0.001028299331665039,True
0,1789567658.6079113,0.002240896224975586,True
0,1789567658.6397457,0.0007607936859130859,True
0,1789567658.6615489,0.001214742660522461,True
0,1789567658.6897998,0.0006847381591796875,True
0,1789567658.6915016,0.0009944438934326172,True
0,1789567658.724374,0.0016417503356933594,True
0,1789567658.757898,0.0027031898498535156,True
0,1789567658.789675,0.0003371238708496094,True
0,1789567658.822905,0.0015094280242919922,True
0,1789567658.8578448,0.0009131431579589844,True
0,1789567658.8925226,0.0012242794036865234,True
0,1789567658.8937469,0.0,True
0,1789567658.9224868,0.0016629695892333984,True
0,1789567658.9559581,0.00251007080078125,True
0,1789567658.989692,0.0010402202606201172,True
0,1789567659.0210202,0.0,True
0,1789567659.0537918,0.0,True
0,1789567659.0759108,0.001001596450805664,True
0,1789567659.1072114,0.0016782283782958984,True
0,1789567659.1380126,0.001192331314086914,True
0,1789567659.1724756,0.0007498264312744141,True
0,1789567659.1933374,0.0007650852203369141,True
0,1789567659.2241113,0.0019145011901855469,True
0,1789567659.25564,0.001882314682006836,True
0,1789567659.2884278,0.0010492801666259766,True
0,1789567659.3221996,0.0006482601165771484,True
0,1789567659.3540282,0.0023317337036132812,True
0,1789567659.3879895,0.0013165473937988281,True
0,1789567659.411147,0.0013802051544189453,True
0,1789567659.4433858,0.0005612373352050781,True
0,1789567659.473281,0.0020036697387695312,True
0,1789567659.5060015,0.002079486846923828,True
0,1789567659.5395422,0.0005586147308349609,True
0,1789567659.5753117,0.0015363693237304688,True
0,1789567659.6073973,0.0006330013275146484,True
0,1789567659.6427548,0.0008962154388427734,True
0,1789567659.643651,0.0,True
0,1789567659.6737146,0.0011589527130126953,True
0,1789567659.6748736,0.0011911392211914062,True
0,1789567659.7061052,0.0005974769592285156,True
0,1789567659.7394989,0.0006351470947265625,True
0,1789567659.7721875,0.0005693435668945312,True
0,1789567659.8057547,0.0005886554718017578,True
0,1789567659.8270802,0.0006456375122070312,True
0,1789567659.8562713,0.001233816146850586,True
0,1789567659.8883197,0.0017862319946289062,True
0,1789567659.9226246,0.0011072158813476562,True
0,1789567659.9547124,0.0012066364288330078,True
0,1789567659.955919,0.0008072853088378906,True
0,1789567659.9880128,0.0005855560302734375,True
0,1789567660.0089242,0.0,True
0,1789567660.0394256,0.001215219497680664,True
0,1789567660.0729675,0.002151012420654297,True
0,1789567660.1096058,0.0009648799896240234,True
0,1789567660.139201,0.0016062259674072266,True
0,1789567660.172533,0.0018339157104492188,True
0,1789567660.2075276,0.0018627643585205078,True
0,1789567660.2394605,0.0009284019470214844,True
0,1789567660.2619288,0.0011754035949707031,True
0,1789567660.296543,0.0018954277038574219,True
0,1789567660.3223963,0.0010578632354736328,True
0,1789567660.3554146,0.0016181468963623047,True
0,1789567660.3882782,0.0018579959869384766,True
0,1789567660.4101448,0.0012581348419189453,True
0,1789567660.4403055,0.0007059574127197266,True
0,1789567660.472554,0.0011396408081054688,True
0,1789567660.5039968,0.0006248950958251953,True
0,1789567660.5394392,0.0010080337524414062,True
0,1789567660.5724626,0.0007648468017578125,True
0,1789567660.6061964,0.0005559921264648438,True
0,1789567660.6426606,0.0010454654693603516,True
0,1789567660.643706,0.002681732177734375,True
0,1789567660.6725883,0.0006508827209472656,True
0,1789567660.708367,0.0006656646728515625,True
0,1789567660.739331,0.0013227462768554688,True
0,1789567660.7718573,0.0005495548248291016,True
0,1789567660.804628,0.0005428791046142578,True
0,1789567660.8382547,0.0010144710540771484,True
0,1789567660.8608882,0.0006508827209472656,True
0,1789567660.8898273,0.0009145736694335938,True
0,1789567660.9207652,0.0014259815216064453,True
0,1789567660.953862,0.0006327629089355469,True
0,1789567660.9749637,0.0005118846893310547,True
0,1789567661.006314,0.002113819122314453,True
0,1789567661.0383217,0.0012886524200439453,True
0,1789567661.0599678,0.0006854534149169922,True
0,1789567661.0900078,0.0007879734039306641,True
0,1789567661.121781,0.0011944770812988281,True
0,1789567661.1552262,0.0016024112701416016,True
0,1789567661.1768796,0.0007126331329345703,True
0,1789567661.2070506,0.0007729530334472656,True
0,1789567661.2398953,0.0011014938354492188,True
0,1789567661.2621794,0.0012240409851074219,True
0,1789567661.2894623,0.0013587474822998047,True
0,1789567661.3209336,0.0011680126190185547,True
0,1789567661.3541038,0.0007538795471191406,True
0,1789567661.3891358,0.000957489013671875,True
0,1789567661.4204893,0.0006277561187744141,True
0,1789567661.442531,0.001028299331665039,True
0,1789567661.47264,0.0003497600555419922,True
0,1789567661.505432,0.0013408660888671875,True
0,1789567661.5383756,0.001584768295288086,True
0,1789567661.5616157,0.001032114028930664,True
0,1789567661.5918994,0.001050710678100586,True
0,1789567661.622648,0.0005314350128173828,True
0,1789567661.6557763,0.0007531642913818359,True
0,1789567661.690749,0.0015330314636230469,True
0,1789567661.7231708,0.0014340877532958984,True
0,1789567661.746543,0.0,True
0,1789567661.7721853,0.0007352828979492188,True
0,1789567661.805202,0.0007266998291015625,True
0,1789567661.8271995,0.000690460205078125,True
0,1789567661.856906,0.0006556510925292969,True
0,1789567661.8923798,0.0008332729339599609,True
0,1789567661.922273,0.0009942054748535156,True
0,1789567661.953825,0.0007352828979492188,True
0,1789567661.9759915,0.0006656646728515625,True
0,1789567662.005536,0.0006089210510253906,True
0,1789567662.028362,0.0015058517456054688,True
0,1789567662.0589166,0.0015361309051513672,True
0,1789567662.0896518,0.0007789134979248047,True
0,1789567662.1230726,0.0011839866638183594,True
0,1789567662.1559772,0.001316070556640625,True
0,1789567662.1888902,0.001220703125,True
0,1789567662.2235608,0.001598358154296875,True
0,1789567662.25599,0.0006535053253173828,True
0,1789567662.277916,0.00040602684020996094,True
0,1789567662.3061104,0.0006039142608642578,True
0,1789567662.3396482,0.0005316734313964844,True
0,1789567662.3708324,0.0017406940460205078,True
0,1789567662.4039838,0.0016937255859375,True
0,1789567662.4267256,0.002656221389770508,True
0,1789567662.4566178,0.001031637191772461,True
0,1789567662.478352,0.001107931137084961,True
0,1789567662.5050943,0.0006914138793945312,True
0,1789567662.5274892,0.0,True
0,1789567662.5558295,0.0011603832244873047,True
0,1789567662.578121,0.0012540817260742188,True
0,1789567662.6068308,0.0012133121490478516,True
0,1789567662.6426072,0.001257181167602539,True
0,1789567662.6583533,0.0007381439208984375,True
0,1789567662.6590915,0.0,True
0,1789567662.6893299,0.0011110305786132812,True
0,1789567662.690441,0.001013040542602539,True
0,1789567662.7224803,0.0009744167327880859,True
0,1789567662.7563875,0.00116729736328125,True
0,1789567662.7782478,0.0,True
0,1789567662.805342,0.0003185272216796875,True
0,1789567662.83967,0.0012629032135009766,True
0,1789567662.8739026,0.0011019706726074219,True
0,1789567662.9056373,0.0005221366882324219,True
0,1789567662.939149,0.000782012939453125,True
0,1789567662.973035,0.0013103485107421875,True
0,1789567663.0036993,0.0007138252258300781,True
0,1789567663.0383294,0.00064849853515625,True
