mode,p50,p95,p99,slo_viol_rate,ana_tps
b0,1.0156631469726562,2.045154571533203,5.838155746459961,5.684210526315789,1.1666666666666667
b1,0.7042884826660156,1.5256404876708984,2.3293495178222656,1.5120967741935485,1.2666666666666666
b2,0.6048679351806641,1.2521743774414062,2.0074844360351562,1.0204081632653061,1.5666666666666667
